ProductKey,Product Code,Sub Category,Product Name,Product Color,Product Size,Product Line,Product Model Name,Product Description,Current Status,Product Status
1,AR-5381,NULL,Adjustable Race,NA,NULL,NULL,NULL,NULL,Current,Current
2,BA-8327,NULL,Bearing Ball,NA,NULL,NULL,NULL,NULL,Current,Current
3,BE-2349,NULL,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,Current,Current
4,BE-2908,NULL,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,Current,Current
5,BL-2036,NULL,Blade,NA,NULL,NULL,NULL,NULL,Current,Current
6,CA-5965,NULL,LL Crankarm,Black,NULL,NULL,NULL,NULL,Current,Current
7,CA-6738,NULL,ML Crankarm,Black,NULL,NULL,NULL,NULL,Current,Current
8,CA-7457,NULL,HL Crankarm,Black,NULL,NULL,NULL,NULL,Current,Current
9,CB-2903,NULL,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,Current,Current
10,CN-6137,NULL,Chainring Nut,Silver,NULL,NULL,NULL,NULL,Current,Current
11,CR-7833,NULL,Chainring,Black,NULL,NULL,NULL,NULL,Current,Current
12,CR-9981,NULL,Crown Race,NA,NULL,NULL,NULL,NULL,Current,Current
13,CS-2812,NULL,Chain Stays,NA,NULL,NULL,NULL,NULL,Current,Current
14,DC-8732,NULL,Decal 1,NA,NULL,NULL,NULL,NULL,Current,Current
15,DC-9824,NULL,Decal 2,NA,NULL,NULL,NULL,NULL,Current,Current
16,DT-2377,NULL,Down Tube,NA,NULL,NULL,NULL,NULL,Current,Current
17,EC-M092,NULL,Mountain End Caps,NA,NULL,NULL,NULL,NULL,Current,Current
18,EC-R098,NULL,Road End Caps,NA,NULL,NULL,NULL,NULL,Current,Current
19,EC-T209,NULL,Touring End Caps,NA,NULL,NULL,NULL,NULL,Current,Current
20,FE-3760,NULL,Fork End,NA,NULL,NULL,NULL,NULL,Current,Current
21,FH-2981,NULL,Freewheel,Silver,NULL,NULL,NULL,NULL,Current,Current
22,FW-1000,NULL,Flat Washer 1,NA,NULL,NULL,NULL,NULL,Current,Current
23,FW-1200,NULL,Flat Washer 6,NA,NULL,NULL,NULL,NULL,Current,Current
24,FW-1400,NULL,Flat Washer 2,NA,NULL,NULL,NULL,NULL,Current,Current
25,FW-3400,NULL,Flat Washer 9,NA,NULL,NULL,NULL,NULL,Current,Current
26,FW-3800,NULL,Flat Washer 4,NA,NULL,NULL,NULL,NULL,Current,Current
27,FW-5160,NULL,Flat Washer 3,NA,NULL,NULL,NULL,NULL,Current,Current
28,FW-5800,NULL,Flat Washer 8,NA,NULL,NULL,NULL,NULL,Current,Current
29,FW-7160,NULL,Flat Washer 5,NA,NULL,NULL,NULL,NULL,Current,Current
30,FW-9160,NULL,Flat Washer 7,NA,NULL,NULL,NULL,NULL,Current,Current
31,FC-3654,NULL,Fork Crown,NA,NULL,NULL,NULL,NULL,Current,Current
32,FC-3982,NULL,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,Current,Current
33,FL-2301,NULL,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,Current,Current
34,GP-0982,NULL,Guide Pulley,NA,NULL,NULL,NULL,NULL,Current,Current
35,GT-0820,NULL,LL Grip Tape,NA,NULL,NULL,NULL,NULL,Current,Current
36,GT-1209,NULL,ML Grip Tape,NA,NULL,NULL,NULL,NULL,Current,Current
37,GT-2908,NULL,HL Grip Tape,NA,NULL,NULL,NULL,NULL,Current,Current
38,HJ-1213,NULL,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,Current,Current
39,HJ-1220,NULL,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,Current,Current
40,HJ-1420,NULL,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,Current,Current
41,HJ-1428,NULL,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,Current,Current
42,HJ-3410,NULL,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,Current,Current
43,HJ-3416,NULL,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,Current,Current
44,HJ-3816,NULL,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,Current,Current
45,HJ-3824,NULL,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,Current,Current
46,HJ-5161,NULL,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,Current,Current
47,HJ-5162,NULL,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,Current,Current
